match_id,player_id,player,team,period,minute,second,x,y,distance,inside_box,play_pattern,outcome,is_goal,shot_type,body_part,technique,first_time,under_pressure,xg
3913148,18146.0,Leanne Kiernan,Liverpool WFC,2,55,47,111.7,42.7,8.7,Inside box,Regular Play,Wayward,0,Open Play,Left Foot,Half Volley,True,False,0.19356304
3913148,46974.0,Marie Therese Höbinger,Liverpool WFC,2,56,2,92.6,46.4,28.1,Outside box,Regular Play,Blocked,0,Open Play,Right Foot,Normal,False,False,0.026886132
3913148,25834.0,Viviane Asseyi,West Ham United LFC,2,62,17,108.6,37.6,11.6,Inside box,Regular Play,Off T,0,Open Play,Right Foot,Half Volley,True,False,0.16216265
3913148,25834.0,Viviane Asseyi,West Ham United LFC,2,70,28,103.6,32.2,18.2,Inside box,From Counter,Saved,0,Open Play,Right Foot,Normal,False,False,0.04318455
3913148,24706.0,Sophie Roman Haug,Liverpool WFC,2,72,39,113.3,46.4,9.3,Inside box,From Corner,Goal,1,Open Play,Right Foot,Half Volley,True,False,0.20019844
3913148,10196.0,Kirsty Smith,West Ham United LFC,2,75,57,83.7,23.5,39.9,Outside box,From Throw In,Blocked,0,Open Play,Right Foot,Normal,True,False,0.006240189
3913148,24237.0,Missy Bo Kearns,Liverpool WFC,2,78,51,95.2,30.1,26.7,Outside box,Regular Play,Off T,0,Open Play,Right Foot,Normal,False,True,0.029109553
3913148,10648.0,Shanice van de Sanden,Liverpool WFC,2,80,39,113.6,37.1,7.0,Inside box,From Throw In,Saved,0,Open Play,Right Foot,Normal,True,False,0.51749504
3913148,401930.0,Riko Ueki,West Ham United LFC,2,86,32,89.0,41.3,31.0,Outside box,Regular Play,Goal,1,Open Play,Right Foot,Normal,True,False,0.052434254
3913148,24237.0,Missy Bo Kearns,Liverpool WFC,2,87,59,106.3,26.6,19.2,Inside box,From Kick Off,Saved,0,Open Play,Right Foot,Normal,False,False,0.08644968
3913158,25834.0,Viviane Asseyi,West Ham United LFC,1,0,18,112.3,39.2,7.7,Inside box,From Kick Off,Off T,0,Open Play,Head,Normal,False,True,0.18243352
3913158,81580.0,Agnes Beever-Jones,Chelsea FCW,1,1,8,107.5,32.3,14.7,Inside box,From Goal Kick,Goal,1,Open Play,Right Foot,Half Volley,True,True,0.17360158
3913158,50193.0,Anouk Denton,West Ham United LFC,1,3,3,113.5,48.8,10.9,Inside box,From Corner,Off T,0,Open Play,Head,Normal,False,True,0.06493857
3913158,31531.0,Lauren James,Chelsea FCW,1,4,29,92.3,27.7,30.3,Outside box,From Free Kick,Saved Off Target,0,Free Kick,Right Foot,Normal,False,False,0.037366487
3913158,10196.0,Kirsty Smith,West Ham United LFC,1,5,18,110.0,35.0,11.2,Inside box,Regular Play,Off T,0,Open Play,Right Foot,Normal,True,False,0.44923297
3913158,31531.0,Lauren James,Chelsea FCW,1,6,44,111.0,23.1,19.1,Inside box,Regular Play,Off T,0,Open Play,Right Foot,Normal,True,False,0.015383221
3913158,31531.0,Lauren James,Chelsea FCW,1,28,0,103.7,31.0,18.6,Inside box,Regular Play,Saved,0,Open Play,Right Foot,Normal,True,False,0.057408623
3913158,62709.0,Jelena Canković,Chelsea FCW,1,34,2,97.1,35.4,23.4,Outside box,From Throw In,Off T,0,Open Play,Left Foot,Normal,True,False,0.038710326
3913158,401930.0,Riko Ueki,West Ham United LFC,1,35,44,91.4,54.6,32.1,Outside box,Regular Play,Post,0,Open Play,Right Foot,Normal,False,False,0.018536558
3913158,25834.0,Viviane Asseyi,West Ham United LFC,1,44,30,107.5,47.1,14.4,Inside box,From Throw In,Off T,0,Open Play,Right Foot,Normal,False,True,0.20272176
3913158,81580.0,Agnes Beever-Jones,Chelsea FCW,2,47,39,114.7,42.3,5.8,Inside box,Regular Play,Off T,0,Open Play,Head,Normal,False,True,0.17509419
3913158,15290.0,Ashley Elizabeth Marie Lawrence,Chelsea FCW,2,49,30,109.1,45.3,12.1,Inside box,From Free Kick,Blocked,0,Open Play,Right Foot,Half Volley,True,False,0.06369494
3913158,31531.0,Lauren James,Chelsea FCW,2,56,37,97.1,27.8,25.9,Outside box,From Throw In,Off T,0,Open Play,Right Foot,Normal,False,False,0.029667655
3913158,53188.0,Mayra Tatiana Ramírez Ramírez,Chelsea FCW,2,65,6,117.0,51.6,12.0,Inside box,From Free Kick,Saved,0,Open Play,Right Foot,Half Volley,False,True,0.025582716
3913158,4660.0,Erin Cuthbert,Chelsea FCW,2,66,12,97.5,53.1,26.0,Outside box,Regular Play,Blocked,0,Open Play,Right Foot,Normal,False,True,0.02155401
3913158,53188.0,Mayra Tatiana Ramírez Ramírez,Chelsea FCW,2,68,47,112.2,48.9,11.8,Inside box,Regular Play,Post,0,Open Play,Right Foot,Normal,False,True,0.05123925
3913158,84901.0,Catarina Cantanhede Melônio Macário,Chelsea FCW,2,70,19,97.8,33.6,23.1,Outside box,From Free Kick,Off T,0,Free Kick,Right Foot,Normal,False,False,0.09269724
3913158,224866.0,Anna Marika Bergman Lundin,West Ham United LFC,2,71,6,103.4,29.4,19.7,Inside box,From Goal Kick,Blocked,0,Open Play,Right Foot,Normal,False,True,0.029155096
3913158,25834.0,Viviane Asseyi,West Ham United LFC,2,72,22,99.6,29.4,23.0,Outside box,From Free Kick,Off T,0,Free Kick,Right Foot,Normal,False,False,0.0795414
3913158,15648.0,Melanie Leupolz,Chelsea FCW,2,73,37,94.9,31.5,26.5,Outside box,From Free Kick,Off T,0,Open Play,Right Foot,Normal,True,False,0.025925651
