match_id,match_date,kick_off,home_score,away_score,match_status,match_status_360,last_updated,last_updated_360,match_week,competition_id,competition_country_name,competition_name,competition,season_id,season,home_team_id,home_team,home_team_gender,home_team_group,home_team_country_id,home_team_country_name,away_team_id,away_team,away_team_gender,away_team_group,away_team_country_id,away_team_country_name,competition_stage_id,competition_stage,stadium_id,stadium,stadium_country_id,stadium_country_name,referee_id,referee,referee_country_id,referee_country_name,home_managers,away_managers,home_manager_id,home_manager_name,home_manager_nickname,home_manager_dob,home_manager_country_id,home_manager_country_name,away_manager_id,away_manager_name,away_manager_nickname,away_manager_dob,away_manager_country_id,away_manager_country_name,data_version,shot_fidelity_version,xy_fidelity_version
3913169,2024-04-21,15:00:00.000,3,0,available,unscheduled,2024-04-22T10:59:28.536246,,19,37,England,FA Women's Super League,England - FA Women's Super League,281,2023/2024,968,Arsenal WFC,female,,68,England,2652,Leicester City WFC,female,,68,England,1,Regular Season,3,Emirates Stadium,68,England,1007206.0,Adewunmi Soneye,68.0,England,Jonas Eidevall,Willie Kirk,1771,Jonas Eidevall,,1983-01-28,220,Sweden,639,Willie Kirk,,1978-06-07,201,Scotland,1.1.0,2,2
3913182,2024-05-04,12:00:00.000,0,1,available,unscheduled,2026-04-07T09:22:32.610664,,21,37,England,FA Women's Super League,England - FA Women's Super League,281,2023/2024,965,Brighton & Hove Albion WFC,female,,68,England,2647,Aston Villa W,female,,68,England,1,Regular Season,4494,Broadfield Stadium,68,England,926.0,Elizabeth Simms,68.0,England,Mikey Harris,Carla Ward,1002375,Mikey Harris,,1984-09-23,68,England,3978,Carla Ward,,1982-12-21,68,England,1.1.0,2,2
3913173,2024-05-01,21:00:00.000,4,3,available,unscheduled,2024-05-28T12:51:31.458313,,20,37,England,FA Women's Super League,England - FA Women's Super League,281,2023/2024,966,Liverpool WFC,female,,68,England,971,Chelsea FCW,female,,68,England,1,Regular Season,579,Prenton Park,68,England,928.0,Lisa Benn,68.0,England,Matt Beard,Emma Hayes,139,Matt Beard,,1978-01-09,68,England,152,Emma Hayes,,1976-10-18,68,England,1.1.0,2,2
3913166,2024-04-19,20:00:00.000,1,2,available,unscheduled,2024-04-20T05:50:54.030450,,19,37,England,FA Women's Super League,England - FA Women's Super League,281,2023/2024,965,Brighton & Hove Albion WFC,female,,68,England,967,Everton LFC,female,,68,England,1,Regular Season,203,The American Express Community Stadium,68,England,914.0,Kirsty Dowle,68.0,England,Mikey Harris,Brian Sørensen,1002375,Mikey Harris,,1984-09-23,68,England,1002151,Brian Sørensen,,1980-06-15,61,Denmark,1.1.0,2,2
3913157,2024-03-24,17:00:00.000,2,3,available,unscheduled,2024-04-06T12:18:58.539408,,17,37,England,FA Women's Super League,England - FA Women's Super League,281,2023/2024,2652,Leicester City WFC,female,,68,England,965,Brighton & Hove Albion WFC,female,,68,England,1,Regular Season,20,King Power Stadium ,68,England,833.0,Cheryl Foster,249.0,Wales,Willie Kirk,Mikey Harris,639,Willie Kirk,,1978-06-07,201,Scotland,1002375,Mikey Harris,,1984-09-23,68,England,1.1.0,2,2
3913161,2024-03-31,11:00:00.000,4,1,available,unscheduled,2026-04-10T15:00:57.657402,,18,37,England,FA Women's Super League,England - FA Women's Super League,281,2023/2024,1475,Manchester United W,female,,68,England,967,Everton LFC,female,,68,England,1,Regular Season,4979,Leigh Sports Village Stadium,68,England,1005310.0,Lauren Impey,68.0,England,Marc Skinner,Brian Sørensen,128,Marc Skinner,,1983-03-23,68,England,1002151,Brian Sørensen,,1980-06-15,61,Denmark,1.1.0,2,2
3913162,2024-03-30,14:30:00.000,1,4,available,unscheduled,2024-03-31T07:19:09.008665,,18,37,England,FA Women's Super League,England - FA Women's Super League,281,2023/2024,966,Liverpool WFC,female,,68,England,746,Manchester City WFC,female,,68,England,1,Regular Season,579,Prenton Park,68,England,1007190.0,Phoebe Cross,68.0,England,Matt Beard,Gareth Taylor,139,Matt Beard,,1978-01-09,68,England,5115,Gareth Taylor,,1973-02-25,249,Wales,1.1.0,2,2
3913153,2024-03-24,15:00:00.000,0,0,available,unscheduled,2024-03-25T08:36:29.992672,,17,37,England,FA Women's Super League,England - FA Women's Super League,281,2023/2024,967,Everton LFC,female,,68,England,966,Liverpool WFC,female,,68,England,1,Regular Season,12,Goodison Park,68,England,914.0,Kirsty Dowle,68.0,England,Brian Sørensen,Matt Beard,1002151,Brian Sørensen,,1980-06-15,61,Denmark,139,Matt Beard,,1978-01-09,68,England,1.1.0,2,2
3913160,2024-04-14,19:45:00.000,5,0,available,unscheduled,2024-05-21T10:29:35.708538,,18,37,England,FA Women's Super League,England - FA Women's Super League,281,2023/2024,968,Arsenal WFC,female,,68,England,973,Bristol City WFC,female,,68,England,1,Regular Season,456,Meadow Park ,68,England,928.0,Lisa Benn,68.0,England,Jonas Eidevall,Lauren Smith,1771,Jonas Eidevall,,1983-01-28,220,Sweden,1000983,Lauren Smith,,,249,Wales,1.1.0,2,2
3913163,2024-05-15,21:15:00.000,0,1,available,unscheduled,2024-05-28T19:21:16.912378,,18,37,England,FA Women's Super League,England - FA Women's Super League,281,2023/2024,749,Tottenham Hotspur Women,female,,68,England,971,Chelsea FCW,female,,68,England,1,Regular Season,4420,Brisbane Road,68,England,1711.0,Emily Heaslip,68.0,England,Robert Vilahamn,Emma Hayes,1000768,Robert Vilahamn,,1983-01-02,220,Sweden,152,Emma Hayes,,1976-10-18,68,England,1.1.0,2,2
3913150,2024-03-17,14:30:00.000,1,4,available,unscheduled,2024-03-18T01:07:43.821456,,16,37,England,FA Women's Super League,England - FA Women's Super League,281,2023/2024,965,Brighton & Hove Albion WFC,female,,68,England,746,Manchester City WFC,female,,68,England,1,Regular Season,4494,Broadfield Stadium,68,England,1008272.0,Megan Wilson,68.0,England,Mikey Harris,Gareth Taylor,1002375,Mikey Harris,,1984-09-23,68,England,5115,Gareth Taylor,,1973-02-25,249,Wales,1.1.0,2,2
3913151,2024-03-17,12:00:00.000,2,0,available,unscheduled,2026-04-10T14:59:44.017831,,16,37,England,FA Women's Super League,England - FA Women's Super League,281,2023/2024,1475,Manchester United W,female,,68,England,973,Bristol City WFC,female,,68,England,1,Regular Season,4979,Leigh Sports Village Stadium,68,England,926.0,Elizabeth Simms,68.0,England,Marc Skinner,Lauren Smith,128,Marc Skinner,,1983-03-23,68,England,1000983,Lauren Smith,,,249,Wales,1.1.0,2,2
3913148,2024-03-17,14:00:00.000,3,1,available,unscheduled,2024-03-18T10:42:58.923205,,16,37,England,FA Women's Super League,England - FA Women's Super League,281,2023/2024,966,Liverpool WFC,female,,68,England,972,West Ham United LFC,female,,68,England,1,Regular Season,579,Prenton Park,68,England,1711.0,Emily Heaslip,68.0,England,Matt Beard,Rehanne Skinner,139,Matt Beard,,1978-01-09,68,England,5389,Rehanne Skinner,,1979-11-13,68,England,1.1.0,2,2
3913156,2024-03-24,19:30:00.000,1,3,available,unscheduled,2026-04-07T09:25:36.494351,,17,37,England,FA Women's Super League,England - FA Women's Super League,281,2023/2024,2647,Aston Villa W,female,,68,England,968,Arsenal WFC,female,,68,England,1,Regular Season,211,Villa Park,68,England,893.0,Stacey Pearson,68.0,England,Carla Ward,Jonas Eidevall,3978,Carla Ward,,1982-12-21,68,England,1771,Jonas Eidevall,,1983-01-28,220,Sweden,1.1.0,2,2
3913144,2024-03-03,15:00:00.000,1,1,available,unscheduled,2026-04-11T13:00:04.271777,,15,37,England,FA Women's Super League,England - FA Women's Super League,281,2023/2024,972,West Ham United LFC,female,,68,England,1475,Manchester United W,female,,68,England,1,Regular Season,116891,Chigwell Construction Stadium,68,England,,,,,Rehanne Skinner,Marc Skinner,5389,Rehanne Skinner,,1979-11-13,68,England,128,Marc Skinner,,1983-03-23,68,England,1.1.0,2,2
